iter	RMSE
0	13.94197928
1	13.05647412
2	12.24107824
3	11.46879523
4	10.8017009
5	10.25217875
6	9.732115124
7	9.274455637
8	8.858521177
9	8.450109924
10	8.080882448
11	7.777585401
12	7.546422487
13	7.284966619
14	7.052556551
15	6.845869499
16	6.685378243
17	6.529861091
18	6.397114719
19	6.279592547
20	6.173499866
21	6.0901085
22	5.999208446
23	5.908654081
24	5.830160407
25	5.75972354
26	5.694352462
27	5.638928172
28	5.597425248
29	5.555978134
30	5.505939643
31	5.469818189
32	5.434508307
33	5.406236283
34	5.368787795
35	5.33579397
36	5.3129506
37	5.292205128
38	5.269570414
39	5.248847067
40	5.235347451
41	5.21651893
42	5.203318596
43	5.187872162
44	5.172177925
45	5.153332291
46	5.130915711
47	5.115040025
48	5.100984592
49	5.083730076
50	5.068815717
51	5.057763533
52	5.044712887
53	5.029616334
54	5.016232282
55	4.99874509
56	4.984223787
57	4.971556258
58	4.954972092
59	4.946439944
60	4.938643644
61	4.931313673
62	4.92322922
63	4.915085488
64	4.906679705
65	4.893862798
66	4.879415244
67	4.871426985
68	4.866242362
69	4.854768719
70	4.848006063
71	4.836290484
72	4.828477986
73	4.823325205
74	4.817706027
75	4.803139455
76	4.795177614
77	4.785101578
78	4.776958913
79	4.766095444
80	4.762125666
81	4.756779946
82	4.750179918
83	4.742122999
84	4.733317599
85	4.726882788
86	4.713876033
87	4.702172159
88	4.687879812
89	4.677247527
90	4.673390659
91	4.665160118
92	4.65808484
93	4.650965183
94	4.641589655
95	4.637552413
96	4.635609707
97	4.631919399
98	4.625049054
99	4.623867536
