iter	Passed	Remaining
0	3	350
1	6	324
2	10	326
3	13	323
4	16	321
5	20	315
6	23	310
7	26	305
8	29	298
9	32	293
10	35	289
11	38	285
12	41	280
13	44	275
14	47	271
15	51	269
16	54	265
17	57	262
18	60	257
19	63	254
20	66	251
21	70	249
22	73	246
23	76	243
24	80	241
25	83	238
26	86	234
27	90	231
28	93	229
29	97	226
30	100	223
31	103	219
32	106	216
33	110	214
34	113	210
35	116	207
36	119	203
37	123	200
38	126	197
39	129	194
40	132	191
41	136	188
42	139	185
43	142	181
44	145	178
45	149	175
46	152	171
47	155	168
48	158	165
49	162	162
50	165	158
51	168	155
52	171	151
53	174	148
54	177	145
55	180	141
56	183	138
57	187	135
58	190	132
59	193	129
60	196	125
61	200	122
62	203	119
63	206	116
64	209	112
65	212	109
66	215	106
67	218	102
68	222	99
69	225	96
70	228	93
71	231	90
72	234	86
73	237	83
74	240	80
75	244	77
76	247	73
77	250	70
78	253	67
79	256	64
80	260	60
81	262	57
82	266	54
83	269	51
84	272	48
85	276	44
86	279	41
87	283	38
88	286	35
89	289	32
90	292	28
91	296	25
92	299	22
93	302	19
94	305	16
95	308	12
96	311	9
97	314	6
98	317	3
99	321	0
