iter	RMSE
0	14.5081239
1	14.13354946
2	13.74780588
3	13.38817658
4	13.04209957
5	12.76333904
6	12.46280086
7	12.19533352
8	11.9349312
9	11.65362576
10	11.37026204
11	11.12774873
12	10.88524025
13	10.6435816
14	10.40279392
15	10.16278428
16	9.94724068
17	9.746094712
18	9.539877264
19	9.35760717
20	9.19160265
21	9.030723567
22	8.854088256
23	8.698263317
24	8.540650919
25	8.410552052
26	8.277339248
27	8.171030553
28	8.052155361
29	7.929410012
30	7.822293581
31	7.704487154
32	7.606518421
33	7.503894757
34	7.398681526
35	7.30495787
36	7.215199501
37	7.133724708
38	7.052820424
39	6.975055532
40	6.898336711
41	6.843606839
42	6.77672314
43	6.720231401
44	6.659243763
45	6.608443853
46	6.547186702
47	6.493848629
48	6.434438326
49	6.377949625
50	6.325333209
51	6.274110722
52	6.228334204
53	6.187036724
54	6.141103742
55	6.101504997
56	6.064004093
57	6.026780541
58	5.994666811
59	5.963035203
60	5.92998598
61	5.901462314
62	5.87410161
63	5.844221114
64	5.818924679
65	5.794949238
66	5.769952571
67	5.74214919
68	5.723566217
69	5.700392573
70	5.677843948
71	5.660047405
72	5.639558369
73	5.620958426
74	5.604058668
75	5.584809734
76	5.571845078
77	5.552550542
78	5.536585844
79	5.518740891
80	5.510652289
81	5.494283168
82	5.475373059
83	5.461128081
84	5.452582404
85	5.438363667
86	5.427408392
87	5.41617316
88	5.400896444
89	5.388793899
90	5.374384245
91	5.366590637
92	5.355867582
93	5.345428974
94	5.339356314
95	5.326318877
96	5.317137656
97	5.309387645
98	5.301787359
99	5.291403314
100	5.284665812
101	5.276259591
102	5.267446457
103	5.258896467
104	5.251390108
105	5.243032144
106	5.231809112
107	5.220803764
108	5.209253331
109	5.20151325
110	5.193780002
111	5.188610636
112	5.185052694
113	5.177156095
114	5.172774006
115	5.164887137
116	5.158191829
117	5.153614365
118	5.147621689
119	5.141267882
120	5.138167551
121	5.131454622
122	5.127011224
123	5.119772731
124	5.114768203
125	5.109024845
126	5.102392564
127	5.095678116
128	5.090909856
129	5.086389027
130	5.081325751
131	5.075372141
132	5.066629737
133	5.063865622
134	5.05938711
135	5.053322335
136	5.050717176
137	5.04678389
138	5.042830453
139	5.035240142
140	5.030558661
141	5.025611473
142	5.020143945
