iter	Passed	Remaining
0	3	3618
1	6	3415
2	10	3330
3	13	3254
4	16	3219
5	19	3284
6	23	3293
7	26	3334
8	30	3311
9	32	3253
10	36	3239
11	39	3226
12	42	3224
13	45	3230
14	49	3243
15	52	3227
16	55	3223
17	58	3210
18	62	3232
19	65	3218
20	69	3218
21	72	3226
22	75	3211
23	78	3199
24	82	3201
25	85	3195
26	88	3186
27	91	3188
28	95	3197
29	98	3191
30	101	3185
31	105	3179
32	108	3169
33	112	3190
34	115	3187
35	119	3191
36	122	3189
37	125	3184
38	129	3184
39	132	3174
40	135	3168
41	139	3177
42	142	3169
43	146	3174
44	149	3167
45	152	3167
46	155	3156
47	158	3151
48	161	3143
49	165	3135
50	168	3128
51	171	3120
52	174	3109
53	176	3100
54	180	3093
55	183	3084
56	186	3080
57	189	3074
58	192	3067
59	195	3060
60	198	3058
61	201	3053
62	204	3046
63	207	3039
64	210	3030
65	213	3024
66	216	3021
67	219	3013
68	222	3007
69	226	3005
70	229	3002
71	232	2997
72	235	2989
73	238	2983
74	241	2976
75	244	2969
76	247	2964
77	250	2961
78	253	2958
79	256	2953
80	258	2938
81	262	2933
82	265	2934
83	268	2931
84	271	2919
85	274	2914
86	277	2915
87	281	2918
88	285	2921
89	289	2922
90	292	2917
91	295	2914
92	298	2912
93	302	2912
94	305	2913
95	309	2913
96	313	2915
97	316	2913
98	319	2908
99	322	2906
100	326	2903
101	329	2899
102	332	2894
103	335	2891
104	338	2887
105	342	2887
106	346	2887
107	349	2887
108	352	2884
109	355	2879
110	359	2876
111	362	2871
112	365	2867
113	368	2860
114	371	2856
115	374	2850
116	377	2847
117	380	2843
118	383	2840
119	386	2835
120	390	2833
121	393	2829
122	396	2824
123	399	2822
124	403	2821
125	406	2819
126	409	2818
127	412	2812
128	416	2809
129	419	2804
130	421	2799
131	424	2792
132	427	2789
133	430	2784
134	434	2782
135	437	2780
136	440	2774
137	443	2771
138	446	2766
139	449	2762
140	452	2759
141	456	2755
142	459	2750
143	462	2746
144	465	2743
145	468	2739
146	471	2735
147	474	2729
148	477	2728
149	480	2724
150	483	2720
151	486	2716
152	489	2712
153	493	2708
154	496	2704
155	499	2700
156	502	2696
157	505	2693
158	508	2689
159	511	2687
160	514	2682
161	517	2678
162	521	2676
163	524	2675
164	528	2672
165	531	2669
166	534	2666
167	537	2661
168	540	2659
169	543	2655
170	546	2651
171	549	2647
172	553	2643
173	556	2639
174	559	2636
175	562	2633
176	565	2630
177	568	2627
178	572	2623
179	575	2620
180	578	2618
181	581	2613
182	585	2612
183	588	2611
184	592	2609
185	595	2604
186	598	2602
187	601	2599
188	604	2595
189	608	2593
190	611	2590
191	614	2586
192	617	2583
193	621	2581
194	624	2578
195	627	2574
196	631	2572
197	634	2569
198	637	2566
199	640	2563
200	643	2559
201	647	2556
202	650	2553
203	653	2550
204	657	2548
205	660	2546
206	663	2542
207	667	2541
208	670	2538
209	673	2535
210	677	2534
211	681	2531
212	695	2568
213	699	2569
214	702	2565
215	705	2562
216	710	2562
217	713	2558
218	716	2554
219	719	2550
220	722	2547
221	725	2544
222	728	2540
223	731	2535
224	735	2531
225	738	2528
226	741	2524
227	744	2520
228	747	2516
229	750	2511
230	753	2506
231	755	2502
232	758	2497
233	761	2493
234	764	2488
235	767	2485
236	770	2481
237	773	2476
238	776	2472
239	779	2468
240	782	2464
241	785	2459
242	788	2456
243	791	2452
244	794	2448
245	797	2444
246	800	2440
247	803	2436
248	806	2432
249	809	2429
250	813	2426
251	816	2423
252	819	2419
253	822	2415
254	825	2412
255	828	2408
256	831	2405
257	834	2401
258	838	2399
259	841	2396
260	844	2392
261	848	2391
262	852	2388
263	855	2386
264	858	2382
265	862	2379
266	865	2376
267	869	2373
268	871	2369
269	875	2365
270	878	2362
271	881	2358
272	884	2355
273	887	2352
274	891	2351
275	895	2347
276	898	2344
277	901	2340
278	904	2337
279	907	2333
280	911	2331
281	914	2328
282	917	2325
283	921	2321
284	924	2319
285	927	2315
286	930	2312
287	933	2308
288	937	2306
289	940	2303
290	943	2299
291	946	2296
292	950	2293
293	953	2289
294	956	2285
295	959	2281
296	962	2277
297	965	2275
298	968	2271
299	971	2267
300	974	2264
301	978	2261
302	981	2257
303	984	2253
304	987	2249
305	990	2245
306	993	2242
307	996	2239
308	999	2235
309	1002	2231
310	1005	2228
311	1008	2224
312	1011	2221
313	1015	2217
314	1018	2213
315	1021	2210
316	1024	2206
317	1027	2203
318	1030	2200
319	1033	2196
320	1037	2193
321	1040	2189
322	1043	2187
323	1046	2183
324	1049	2180
325	1052	2177
326	1055	2173
327	1058	2169
328	1062	2166
329	1065	2163
330	1069	2160
331	1072	2157
332	1075	2154
333	1079	2152
334	1082	2148
335	1085	2145
336	1088	2141
337	1091	2138
338	1094	2134
339	1097	2131
340	1100	2127
341	1104	2124
342	1107	2120
343	1110	2117
344	1113	2113
345	1116	2109
346	1119	2106
347	1122	2102
348	1125	2099
349	1128	2096
350	1131	2092
351	1135	2089
352	1138	2085
353	1141	2082
354	1144	2079
355	1147	2075
356	1150	2072
357	1154	2070
358	1157	2067
359	1161	2064
360	1164	2060
361	1167	2058
362	1170	2054
363	1174	2051
364	1177	2049
365	1181	2046
366	1184	2043
367	1187	2039
368	1190	2036
369	1193	2032
370	1196	2028
371	1199	2025
372	1203	2022
373	1206	2018
374	1209	2015
375	1212	2012
376	1217	2011
377	1220	2008
378	1224	2005
379	1227	2002
380	1230	1999
381	1233	1996
382	1237	1992
383	1241	1991
384	1244	1987
385	1247	1984
386	1251	1982
387	1254	1979
388	1258	1976
389	1260	1972
390	1264	1969
391	1267	1966
392	1270	1962
393	1273	1958
394	1276	1955
395	1279	1951
396	1282	1947
397	1285	1944
398	1288	1940
399	1291	1937
400	1294	1933
401	1297	1930
402	1301	1927
403	1304	1924
404	1308	1921
405	1311	1919
406	1315	1916
407	1318	1913
408	1322	1910
409	1325	1907
410	1329	1904
411	1332	1901
412	1335	1898
413	1338	1895
414	1341	1891
415	1345	1888
416	1349	1886
417	1352	1883
418	1355	1880
419	1359	1876
420	1362	1874
421	1366	1871
422	1369	1868
423	1372	1865
424	1375	1861
425	1378	1858
426	1381	1854
427	1385	1851
428	1389	1849
429	1392	1846
430	1396	1843
431	1399	1839
432	1402	1836
433	1405	1833
434	1408	1830
435	1412	1826
436	1415	1823
437	1418	1820
438	1422	1817
439	1426	1815
440	1429	1811
441	1432	1808
442	1435	1805
443	1439	1802
444	1442	1799
445	1445	1795
446	1448	1792
447	1451	1788
448	1454	1785
449	1458	1782
450	1461	1778
451	1464	1775
452	1467	1771
453	1470	1768
454	1473	1764
455	1476	1761
456	1479	1758
457	1482	1754
458	1485	1751
459	1489	1748
460	1493	1745
461	1496	1742
462	1499	1739
463	1503	1736
464	1506	1733
465	1509	1730
466	1513	1726
467	1516	1723
468	1519	1720
469	1522	1717
470	1526	1714
471	1529	1710
472	1532	1707
473	1535	1704
474	1539	1701
475	1542	1697
476	1545	1694
477	1548	1691
478	1552	1688
479	1555	1685
480	1558	1681
481	1562	1678
482	1565	1676
483	1569	1673
484	1572	1669
485	1575	1666
